,sol_price,sol_volume,sol_price_return,sol_price_MA7,sol_price_MA30,sol_price_RSI,sol_price_MACD,sol_price_Signal,sol_price_MA20,sol_price_BB_upper,sol_price_BB_lower
2021-12-18,182.83512878,1690397976.0,0.041776040970635586,170.80286516285716,196.334586588,41.030530350758596,-10.119768636500908,-10.255775003720402,189.07102127000002,232.58296993957975,145.55907260042028
2021-12-19,180.09805298,1678714066.0,-0.014970185534167402,171.7552054257143,195.16185455266665,41.94361416307283,-9.268019935310548,-10.058223990038432,187.859955596,230.93099726201672,144.78891392998327
2021-12-20,173.67178345,1982986558.0,-0.03568205998714302,174.39216613714285,193.68373819933333,40.149326429889655,-9.007713879103733,-9.848121967851494,186.109995269,228.45880335961465,143.76118717838534
2021-12-21,180.09254456,1821107818.0,0.03697066375695135,178.21375165714286,191.97740224166668,45.09194642239528,-8.18892091029096,-9.516281756339387,183.6246604915,220.68130039921567,146.56802058378435
2021-12-22,178.59712219,1889229699.0,-0.00830363285528335,178.2503705714286,190.73939717566665,42.33142470826084,-7.573388364123758,-9.127703077896262,180.8548645015,209.352476796709,152.357252206291
2021-12-23,190.03631592,2191634326.0,0.06405026906217692,180.11917768285713,189.67937774633336,54.32202810596633,-6.092298825398785,-8.520622227396768,179.79546051,204.9144822038259,154.67643881617408
2021-12-24,190.27319336,2286837232.0,0.0012464851197164784,182.2291630342857,188.85776621466667,62.46956472310007,-4.843576925766399,-7.785213167070694,179.25287857049997,202.8550097385827,155.65074740241724
2021-12-25,193.1209259,1443209769.0,0.014966546205024578,183.6985626228571,188.42003072066666,61.98232770031806,-3.582866551914634,-6.944743844039483,179.100511932,202.27838781864855,155.92263604535142
2021-12-26,198.00073242,1971114647.0,0.025268139624220698,186.25608825714286,188.636330159,63.39029666541658,-2.1650278009833244,-5.988800635428251,179.2905876155,203.04499322146413,155.53618200953585
2021-12-27,195.42950439,1800094698.0,-0.012985952115297628,189.36433410571428,188.71390838566666,76.42527811257993,-1.2346250007837796,-5.037965508499356,179.53221740650002,203.8622076678182,155.20222714518184
