,btc_price,btc_volume,btc_price_return,btc_price_MA7,btc_price_MA30,btc_price_RSI,btc_price_MACD,btc_price_Signal,btc_price_MA20,btc_price_BB_upper,btc_price_BB_lower
2023-01-23,22922.0,1725.89555336,0.009024078883655307,21998.571428571428,18658.466666666667,90.6555288121195,1487.679956623866,1150.068517775211,19652.6,24274.766245389234,15030.433754610764
2023-01-24,22637.0,1980.41661745,-0.012433470028793248,22213.285714285714,18852.1,86.65442734077108,1487.164985916479,1217.4878114034645,19942.0,24549.829081261672,15334.170918738328
2023-01-25,23054.0,2590.75262101,0.01842116888280243,22553.85714285714,19056.666666666668,86.52694610778443,1503.0787269757457,1274.6059945179209,20253.4,24816.134886241005,15690.665113758998
2023-01-26,23010.0,1483.43115287,-0.00190856250542204,22828.714285714286,19267.0,83.87938060309699,1494.9076839084992,1318.6663323960365,20556.4,24998.739895526207,16114.060104473796
2023-01-27,23083.0,2121.74026118,0.003172533681008227,22886.571428571428,19485.1,80.72124756335283,1477.2932463611287,1350.391715189055,20863.3,25098.393193533055,16628.206806466944
2023-01-28,23033.0,831.63943062,-0.002166096261317807,22922.285714285714,19698.6,74.96988677427126,1442.668906443825,1368.8471534400092,21159.0,25109.61924526622,17208.38075473378
2023-01-29,23746.0,1615.93941447,0.030955585464333746,23069.285714285714,19936.7,79.87053664648153,1455.9783961787762,1386.2734019877626,21487.35,25124.324119702193,17850.375880297805
2023-01-30,22831.0,2105.92689832,-0.038532805525141045,23056.285714285714,20146.8,65.2037037037037,1376.8222596898777,1384.3831735281856,21756.6,24897.299982322795,18615.900017677202
2023-01-31,23127.0,1544.60309118,0.012964828522622707,23126.285714285714,20363.866666666665,67.66530756957987,1322.7275970881492,1372.0520582401782,22016.45,24641.778889675035,19391.121110324966
2023-02-01,23735.0,2461.84843139,0.02628961819518305,23223.571428571428,20599.266666666666,76.49092480553155,1313.7733446555867,1360.39631552326,22260.55,24531.32417589457,19989.77582410543
2023-02-02,23498.0,2609.58252721,-0.009985253844533415,23293.285714285714,20826.866666666665,71.5126650017838,1272.8801458020935,1342.8930815790268,22438.9,24488.869334819206,20388.930665180796
2023-02-03,23434.0,1742.07112849,-0.0027236360541322835,23343.428571428572,21046.366666666665,59.26924963217264,1221.2301450387931,1318.5604942709801,22562.6,24533.88452912097,20591.315470879028
2023-02-04,23330.0,799.21227741,-0.004437996074080353,23385.85714285714,21263.166666666668,56.7083639931322,1158.550171277926,1286.5584296723694,22684.85,24516.38559673845,20853.314403261546
2023-02-05,22937.0,1565.69556184,-0.016845263609087002,23270.285714285714,21462.733333333334,52.497729336966394,1064.8886514222322,1242.2244740223418,22772.25,24464.78592048147,21079.71407951853
2023-02-06,22763.0,1758.68026943,-0.007585996424990138,23260.571428571428,21656.666666666668,48.182026069060136,965.4912936843248,1186.8778379547384,22853.7,24360.928910779134,21346.471089220868
2023-02-07,23252.0,2786.30911905,0.021482229934542962,23278.428571428572,21861.1,56.71837448110116,915.6216681781661,1132.626603999424,22982.8,24092.330123408818,21873.26987659118
2023-02-08,22961.0,1236.37069596,-0.012515052468604848,23167.85714285714,22053.833333333332,48.95529094585486,842.9019140844175,1074.681666016423,23076.55,23737.38917146386,22415.71082853614
2023-02-09,21802.0,2260.7850853,-0.0504768956055921,22925.571428571428,22199.033333333333,39.148401006108514,683.866187497184,996.5185703125752,23032.75,23891.345149994268,22174.154850005732
2023-02-10,21639.0,1503.99323818,-0.007476378313916121,22669.14285714286,22322.666666666668,37.234794908062234,538.4693511396945,904.908726477999,22975.55,24033.48830782926,21917.61169217074
