,btc_price,btc_volume,eth_price,eth_volume,sol_price,sol_volume,btc_price_return,eth_price_return,sol_price_return,btc_price_MA7,btc_price_MA30,eth_price_MA7,eth_price_MA30,sol_price_MA7,sol_price_MA30,btc_price_RSI,btc_price_MACD,btc_price_Signal,btc_price_MA20,btc_price_BB_upper,btc_price_BB_lower,eth_price_RSI,eth_price_MACD,eth_price_Signal,eth_price_MA20,eth_price_BB_upper,eth_price_BB_lower,sol_price_RSI,sol_price_MACD,sol_price_Signal,sol_price_MA20,sol_price_BB_upper,sol_price_BB_lower
2021-12-29,46483.36,2089.30815829,3627.68,14161.77245817,170.65756226,2175731146.0,-0.022294203389331413,-0.0436057241081127,-0.03814593444653713,49667.09714285714,49759.59533333334,3969.095714285714,4091.3426666666664,187.84912327285716,186.81681416766665,41.03280742348133,-1150.3783360554808,-1446.8480266886368,48512.678499999995,51853.51191810216,45171.84508189783,32.404031354983175,-87.78165573137358,-71.36752932652283,3962.143,4218.6382920958595,3705.64770790414,44.808323876616846,-2.988843690694523,-4.1305168633082205,178.14638748099998,201.6596100214447,154.63316494055525
2021-12-30,47150.71,2162.27044303,3711.82,16312.69911217,172.75119019,1540637869.0,0.014356750458658807,0.023193887002161295,0.01226800560300001,49138.62714285714,49432.14833333333,3911.675714285714,4060.7073333333333,185.37981959714287,185.61948750766666,47.99717805665606,-1205.6020739164742,-1398.5988361342042,48513.093,51853.21257105948,45172.973428940524,39.2833227602735,-99.73955275959634,-77.04193401313753,3952.6504999999997,4231.635194956501,3673.6658050434976,47.18654668603438,-3.619061005089776,-4.028225691664532,178.3862052915,201.55710538088698,155.21530520211303
2021-12-31,46214.37,1798.55260406,3677.0,27800.11243028,170.29907227,1567918820.0,-0.01985844963946448,-0.009380842821042013,-0.014194506661881823,48477.611428571436,49064.241,3858.4,4030.3546666666666,182.52637372714284,183.63614857966664,50.01404319442376,-1309.8232694039689,-1380.8437227881573,48353.784499999994,51817.335320126775,44890.233679873214,40.82875457875457,-110.74930624028866,-83.78340845856776,3932.0395,4228.878952795216,3635.2000472047844,46.5627765149842,-4.267188695113532,-4.076018292354332,178.3036842345,201.58260927835934,155.02475919064065
2022-01-01,47777.42,741.52060313,3768.13,5975.18773069,178.51794434,1084780603.0,0.0338217312061162,0.024783791134076694,0.0482614024870871,48096.92571428571,48771.88966666667,3811.098571428571,4005.424666666667,180.44023350428571,181.78697865799998,53.39850921739603,-1251.863542000683,-1355.0476866306624,48236.436499999996,51605.136136585206,44867.736863414786,41.19868592281163,-110.84345148880493,-89.1954170646152,3913.643,4202.7480524854345,3624.537947514565,47.18166067291759,-4.0707155954442555,-4.074957752972317,178.5579978945,201.7236737522053,155.39232203679472
2022-01-02,47777.42,741.52060313,3768.13,5975.18773069,176.38284302,995389409.0,0.0,0.0,-0.011960149596690228,47666.384285714295,48573.013999999996,3769.034285714286,3990.2690000000002,177.35196359,180.625593567,54.12645988784799,-1192.1872479724552,-1322.475598899021,48289.0565,51590.55826100335,44987.554738996645,42.725960041147985,-109.65403877480685,-93.28714140665355,3912.7200000000003,4203.645113822451,3621.794886177549,47.555427578005364,-4.04071523125387,-4.068109248628628,179.61648712200002,200.06625957388084,159.1667146701192
2022-01-03,46439.89,1140.17908832,3764.9,11589.13312508,170.29774475,1345778058.0,-0.027995023590641765,-0.0008571891097175488,-0.03449937741002407,47055.21,48479.844666666664,3730.105714285714,3978.282,173.76171221285716,179.598023987,48.318269698413445,-1238.5436871472339,-1305.6892165486636,48191.553,51594.14295776451,44788.96304223549,41.278946659223486,-107.73020785899826,-96.17575469712249,3907.8309999999997,4205.504950270171,3610.157049729828,47.769902409264816,-4.456583580207223,-4.145804114944347,180.46430206349999,197.4379846900864,163.49061943691356
2022-01-04,45820.0,1832.61283694,3786.64,11484.16186271,167.93890381,1499265336.0,-0.013348222831707779,0.00577438975802802,-0.013851275267695473,46809.02428571428,48358.403999999995,3729.1857142857143,3964.5456666666664,172.40646580571428,178.65704549166665,37.785943541026136,-1310.1982912055682,-1306.5910314800444,48038.711,51583.34725387607,44494.07474612394,38.27710051090091,-103.26099323426024,-97.59280240455004,3896.1375,4193.548221066404,3598.7267789335956,41.51114441834624,-4.919788731094258,-4.30060103817433,179.94420776450002,197.80607169446293,162.0823438345371
2022-01-05,43435.8,3397.54577759,3538.66,24981.41166881,155.09973145,2123759721.0,-0.05203404626800523,-0.06548813724040314,-0.07645144792969338,46373.65857142857,48121.09733333333,3716.468571428571,3937.2656666666667,170.18391854714284,177.3537292483333,32.493942511444544,-1541.5994961948018,-1353.592724422996,47827.33,51926.96867764517,43727.69132235483,31.535210915425452,-118.36458869084072,-101.74715966180818,3875.3165,4211.173005905311,3539.4599940946896,35.83293084340423,-6.250840262859356,-4.690648883111335,178.85146103000002,199.87725023329358,157.82567182670647
2022-01-06,43097.6,2450.1130935,3408.35,28217.09403574,150.43135071,2097172620.0,-0.007786204006833164,-0.0368246737465594,-0.030099218717892895,45794.642857142855,47870.10666666667,3673.1157142857146,3907.155333333333,166.99537005000002,176.01487731966665,19.977957088352852,-1732.3075685231743,-1429.3356932430318,47671.664,52239.431014707574,43103.89698529242,20.560076791452772,-139.24410548798141,-109.24654882704284,3851.8689999999997,4247.331723608924,3456.4062763910756,23.998430817675583,-7.594858698483165,-5.271490846185701,177.5978637705,202.15696732127512,153.03876021972488
2022-01-07,41535.66,2984.20586087,3196.03,22053.77113038,136.40281677,2926269672.0,-0.03624192530442516,-0.06229407191162872,-0.09325538774855568,45126.25571428571,47569.852,3604.405714285714,3865.6043333333337,162.1530478357143,174.07424774199998,17.832432282952823,-1986.580530392719,-1540.7846606729695,47404.3535,52729.64619935299,42079.06080064701,18.292809719726122,-170.95308183345605,-121.5878554283255,3813.5925,4301.692361821847,3325.4926381781534,20.055528477494676,-9.680398827607434,-6.153272442470048,175.27624817,205.80411435966877,144.74838198033123
