date,btc_price,btc_high,btc_low,eth_price,eth_high,eth_low,sol_price,sol_high,sol_low,btc_sma_14,eth_sma_14,sol_sma_14,btc_sma_30,eth_sma_30,sol_sma_30
2024-01-08,46995.0,47281.0,43213.0,2332.7,2360.5,2168.0,97.79044342,99.76187134,85.646698,43598.142857142855,2291.8285714285716,102.29733548785714,43170.0,2269.77,92.38733774766666
2024-01-09,46124.0,47897.0,44903.0,2345.1,2371.8,2228.7,99.40918732,103.79616547,95.8937912,43856.28571428572,2299.9785714285713,101.34965351642857,43247.933333333334,2269.53,93.210781097
2024-01-10,46680.0,47751.0,44304.0,2584.8,2644.0,2341.6,102.03302002,105.08237457,92.56326294,44085.357142857145,2314.5642857142857,100.99316951214286,43429.2,2281.5433333333335,94.26630935633334
2024-01-11,46360.0,49048.0,45600.0,2619.0,2690.7,2564.6,99.90943909,106.93573761,98.41249847,44355.142857142855,2334.1,100.83637455571429,43592.6,2295.47,95.31193466166667
2024-01-12,42778.0,46516.0,41509.0,2522.6,2717.5,2456.2,91.72090912,100.25449371,88.30984497,44405.57142857143,2350.0285714285715,99.79418836357142,43588.933333333334,2304.2,96.01037216166667
2024-01-13,42843.0,43246.0,42440.0,2578.3,2588.7,2496.9,95.73004913,96.91764832,89.75449371,44455.21428571428,2370.4714285714285,99.35740007714286,43582.666666666664,2312.9533333333334,96.68069610566667
2024-01-14,41715.0,43060.0,41704.0,2471.6,2578.7,2467.8,94.13314056,102.17358398,93.89056396,44416.42857142857,2384.092857142857,98.83078002928572,43575.666666666664,2321.32,97.40616785633334
2024-01-15,42493.0,43324.0,41680.0,2510.8,2551.9,2469.7,94.49022675,96.82123566,93.24111176,44295.42857142857,2395.4,97.75803320785714,43583.9,2330.77,98.106725311
2024-01-16,43131.0,43566.0,42056.0,2587.3,2613.3,2498.7,97.62691498,98.5953064,94.39668274,44164.07142857143,2411.885714285714,97.11629704142857,43643.433333333334,2343.8533333333335,98.99427185033333
2024-01-17,42738.0,43187.0,42172.0,2528.4,2592.3,2506.0,102.06359863,102.43373871,97.05516052,44155.0,2434.5642857142857,97.36409432571429,43646.36666666667,2354.193333333333,99.91815312666667
2024-01-18,41283.0,42871.0,40600.0,2467.9,2546.7,2424.0,94.25095367,102.92314148,92.14057922,43947.642857142855,2448.7285714285713,96.59076690642857,43613.86666666667,2363.8733333333334,100.626859283
2024-01-19,41628.0,42152.0,40258.0,2490.1,2502.8,2413.0,93.38616943,95.16472626,87.48365784,43765.07142857143,2464.4928571428572,96.11986541714286,43545.96666666667,2373.4666666666667,101.000023905
2024-01-20,41673.0,41854.0,41428.0,2470.6,2489.4,2452.8,92.56983948,94.02531433,90.49375153,43598.92857142857,2480.8571428571427,96.02787399285714,43472.63333333333,2381.153333333333,100.957191467
2024-01-21,41560.0,41849.0,41485.0,2455.8,2480.7,2452.0,90.84843445,93.71378326,90.84843445,43428.642857142855,2497.5,96.14016614642857,43391.23333333333,2385.4766666666665,100.718682861
2024-01-22,39528.0,41649.0,39437.0,2310.7,2464.6,2301.6,83.62281036,91.6361618,82.65976715,42895.28571428572,2495.9285714285716,95.12819235642857,43251.066666666666,2385.5133333333333,99.919635518
2024-01-23,39868.0,40133.0,38505.0,2241.0,2348.8,2165.0,84.27450562,85.84018707,79.06669617,42448.42857142857,2488.4928571428572,94.04714366357143,43145.566666666666,2384.7233333333334,98.97927856433333
2024-01-24,40074.0,40515.0,39461.0,2233.9,2264.2,2195.8,88.73200989,89.26772308,83.41868591,41976.57142857143,2463.4285714285716,93.09707151142857,43028.333333333336,2383.45,97.89879684433333
2024-01-25,39916.0,40278.0,39531.0,2217.5,2241.0,2170.1,86.88921356,89.37682343,85.27368164,41516.28571428572,2434.75,92.16705540214285,42941.86666666667,2383.0,97.039212799
2024-01-26,41818.0,42233.0,39808.0,2267.0,2281.0,2195.1,92.44236755,93.52867126,86.14839172,41447.71428571428,2416.4928571428572,92.21858814714285,42886.7,2379.213333333333,96.55316518133333
2024-01-27,42124.0,42187.0,41396.0,2268.1,2282.5,2251.0,94.16321564,94.43761444,90.84476471,41396.357142857145,2394.3357142857144,92.10667146928571,42871.4,2376.633333333333,96.28845342
